InventoryID,Date,ProductID,StoreID,WarehouseID,OpeningStock,ReceivedQty,SoldQty,ClosingStock,ReorderLevel,StockStatus,InventoryValue
INV000001,2025-10-27,1755,299,WH026,370,112,70,412,180,Normal,12615.44
INV000002,2025-01-25,450,79,WH041,163,348,216,295,202,Normal,1675.6
INV000003,2025-07-15,2441,240,WH034,257,283,5,535,224,Normal,23433.0
INV000004,2025-12-16,2200,137,WH050,656,174,57,773,125,Overstock,21041.06
INV000005,2025-08-21,14,135,WH033,780,91,259,612,283,Normal,5000.04
INV000006,2025-11-17,1223,260,WH039,203,78,191,90,245,Low Stock,1023.3
INV000007,2025-09-29,3,166,WH032,19,57,46,30,274,Low Stock,1774.5
INV000008,2025-06-07,981,30,WH016,899,290,40,1149,71,Overstock,51073.05
INV000009,2025-02-05,2182,65,WH009,675,243,281,637,92,Overstock,11064.69
INV000010,2025-11-07,1734,109,WH035,773,373,102,1044,232,Overstock,20963.52
INV000011,2025-12-10,1530,225,WH034,462,61,126,397,107,Normal,2266.87
INV000012,2025-01-11,2410,284,WH015,602,112,3,711,68,Overstock,30608.55
INV000013,2025-01-31,938,35,WH003,880,169,36,1013,181,Overstock,16005.4
INV000014,2025-12-09,1989,110,WH035,135,370,292,213,197,Normal,6264.33
INV000015,2025-08-31,1668,98,WH007,99,337,220,216,140,Normal,5739.12
INV000016,2025-08-28,222,51,WH004,412,372,173,611,254,Normal,31759.78
INV000017,2025-05-08,785,98,WH035,459,71,216,314,96,Normal,5702.24
INV000018,2025-05-08,309,227,WH036,100,25,83,42,188,Low Stock,2120.58
INV000019,2025-02-17,969,86,WH027,497,246,109,634,271,Normal,16014.84
INV000020,2025-01-31,675,195,WH001,399,135,232,302,123,Normal,8012.06
INV000021,2025-10-12,1994,80,WH013,303,111,29,385,198,Normal,17197.95
INV000022,2025-02-01,1285,30,WH004,598,244,257,585,285,Normal,30104.1
INV000023,2025-03-22,233,261,WH006,871,95,35,931,202,Overstock,5530.14
INV000024,2025-05-01,1654,62,WH037,252,296,20,528,208,Normal,3569.28
INV000025,2025-12-03,2391,290,WH034,323,133,104,352,221,Normal,15326.08
INV000026,2025-05-03,1088,203,WH009,687,330,153,864,167,Overstock,17573.76
INV000027,2025-02-07,39,235,WH040,576,51,37,590,187,Normal,8472.4
INV000028,2025-05-16,543,179,WH005,900,125,189,836,122,Overstock,9321.4
INV000029,2025-10-06,1240,271,WH001,683,283,153,813,288,Normal,32910.24
INV000030,2025-03-10,1084,60,WH007,760,283,79,964,119,Overstock,17679.76
INV000031,2025-04-18,1405,105,WH044,649,135,258,526,175,Normal,8715.82
INV000032,2025-01-27,379,217,WH018,45,1,21,25,247,Low Stock,239.75
INV000033,2025-05-15,662,227,WH036,722,218,287,653,52,Overstock,5543.97
INV000034,2025-12-20,611,280,WH003,854,189,298,745,191,Normal,7889.55
