OrderID,Date,StoreID,ProductID,SupplierID,Qty,Sales,ShipDays,Status
1,2025-01-22,103,2213,18,20,224.17,3,In Transit
2,2024-06-15,200,90,427,19,1198.96,3,Delivered
3,2025-10-31,288,1786,268,20,359.02,3,Delivered
4,2025-02-23,22,877,428,16,1680.21,8,Delivered
5,2024-08-09,39,2402,298,4,206.8,8,Delivered
6,2024-02-13,247,339,365,15,374.62,7,In Transit
7,2024-10-29,204,1512,458,15,1253.1,9,In Transit
8,2025-07-22,253,256,497,20,648.13,2,Delivered
9,2024-12-12,249,2392,233,17,1691.9,7,Delayed
10,2025-03-18,111,131,7,18,1375.83,4,Delayed
11,2025-09-11,66,362,19,4,263.9,10,Delivered
12,2024-04-04,211,2443,14,5,240.08,9,Delayed
13,2025-06-03,237,766,211,4,268.23,3,In Transit
14,2025-12-29,227,384,279,4,378.59,8,Delayed
15,2025-01-16,270,2209,387,4,300.74,10,Delivered
16,2025-01-06,246,593,440,15,1467.36,8,Delivered
17,2024-07-30,124,1839,213,11,827.53,5,Delayed
18,2025-02-05,115,1979,223,1,53.26,8,Delayed
19,2025-11-09,110,1428,148,16,1499.05,9,Delayed
20,2024-06-18,48,842,183,7,783.82,3,Delivered
21,2025-06-13,140,2094,166,5,49.14,3,In Transit
22,2024-11-09,228,2289,120,7,763.21,10,Delivered
23,2024-04-25,46,2247,229,17,104.97,5,In Transit
24,2025-09-22,271,750,211,6,657.54,3,Delivered
25,2025-12-21,214,156,145,5,60.97,8,In Transit
26,2025-07-27,143,281,317,1,92.96,7,Delayed
27,2025-04-30,78,690,245,3,198.02,3,Delivered
28,2024-11-16,287,154,413,12,1319.68,3,Delivered
29,2024-03-16,29,662,100,2,170.24,5,Delivered
30,2025-12-14,161,346,259,4,117.81,8,Delivered
31,2024-12-20,253,2094,432,15,1349.0,2,Delivered
32,2025-05-21,290,2159,81,3,323.71,3,Delivered
33,2024-11-24,101,1369,315,4,121.25,1,Delayed
34,2024-03-10,186,359,185,12,851.01,5,In Transit
35,2024-12-26,208,2427,370,8,889.93,10,Delayed
36,2024-05-23,9,612,324,8,316.63,9,Delayed
37,2024-03-25,264,1954,286,11,63.17,2,In Transit
38,2024-06-08,133,2000,106,9,987.41,3,Delivered
39,2025-04-22,2,1102,137,20,936.21,9,Delivered
40,2025-10-08,254,1926,344,4,343.45,5,In Transit
41,2025-07-23,88,2039,453,20,1125.51,3,Delayed
42,2024-09-27,11,289,412,4,415.7,5,Delivered
43,2024-02-02,239,1616,462,18,1511.28,6,In Transit
44,2024-06-20,205,2044,266,17,1395.8,9,In Transit
45,2024-08-08,82,1392,358,9,557.84,5,In Transit
46,2024-03-20,93,2124,4,17,1332.7,8,Delayed
