ProductID,Category,UnitCost,UnitPrice
1,Household,56.98,86.37
2,Beverages,6.2,10.1
3,Household,35.8,69.01
4,Bakery,4.17,6.45
5,Snacks,15.96,26.19
6,Beverages,49.96,64.9
7,Bakery,38.58,64.29
8,Beverages,35.47,53.82
9,Bakery,4.7,8.87
10,Frozen,26.31,42.95
11,Frozen,34.49,60.21
12,Snacks,35.73,61.14
13,Household,7.65,13.54
14,Beverages,37.9,60.53
15,Produce,47.08,74.03
16,Personal Care,22.97,32.13
17,Dairy,42.54,59.36
18,Frozen,32.46,61.68
19,Personal Care,18.7,37.1
20,Snacks,31.69,42.21
21,Household,10.82,17.22
22,Beverages,57.8,72.95
23,Household,21.73,32.16
24,Personal Care,35.63,55.76
25,Snacks,56.79,89.69
26,Snacks,5.52,9.72
27,Personal Care,18.51,27.92
28,Household,3.31,5.19
29,Dairy,37.43,59.7
30,Bakery,46.56,60.69
31,Bakery,25.08,48.49
32,Personal Care,6.67,10.4
33,Frozen,53.24,98.78
34,Frozen,42.97,85.47
35,Produce,57.55,76.01
36,Dairy,10.78,18.62
37,Beverages,30.13,50.36
38,Frozen,18.35,24.16
39,Household,37.37,54.37
40,Dairy,42.05,67.8
41,Beverages,28.49,54.04
42,Produce,25.09,38.02
43,Personal Care,38.79,48.48
44,Snacks,59.11,91.77
45,Snacks,21.72,26.98
46,Beverages,34.87,56.81
47,Household,37.6,47.24
48,Bakery,37.62,49.61
49,Frozen,57.42,96.57
50,Personal Care,9.12,17.14
51,Personal Care,29.86,43.28
52,Dairy,7.93,11.69
53,Frozen,29.76,52.19
54,Beverages,13.9,27.27
55,Household,10.5,17.16
56,Beverages,45.97,66.13
57,Snacks,42.38,59.71
58,Household,54.68,81.18
59,Bakery,32.89,59.97
60,Household,38.91,65.78
61,Bakery,48.75,90.41
62,Bakery,13.6,21.68
63,Beverages,59.4,108.83
64,Personal Care,17.03,29.87
65,Household,27.94,54.47
66,Household,57.39,85.61
67,Bakery,7.93,12.5
68,Household,13.85,23.53
69,Beverages,29.81,51.34
70,Snacks,50.41,65.33
71,Produce,47.37,85.27
72,Personal Care,53.56,82.86
73,Household,7.03,13.76
74,Produce,28.86,51.79
75,Snacks,44.04,58.84
76,Dairy,3.6,6.02
77,Personal Care,48.78,64.24
78,Personal Care,40.12,59.39
