ShipmentID,OrderID,ProductID,SupplierID,WarehouseID,StoreID,ShipmentDate,ExpectedDelivery,ActualDelivery,Quantity,Carrier,ShippingCost,TransitDays,DelayDays,Status
SHP000001,90979,2445,347,WH024,206,2025-09-11,2025-09-17,2025-09-21,172,USPS,941.11,10,4,Delayed
SHP000002,4603,2170,29,WH024,262,2025-11-15,2025-11-20,2025-11-20,31,UPS,234.02,5,0,Delivered
SHP000003,82970,65,91,WH029,237,2025-05-10,2025-05-14,2025-05-14,83,DHL,248.89,4,0,Delivered
SHP000004,50068,559,354,WH029,164,2025-05-17,2025-05-19,,247,FedEx,214.72,6,3,In Transit
SHP000005,51893,1801,65,WH042,244,2025-08-23,2025-08-28,2025-08-30,3,FedEx,761.02,7,2,Delayed
SHP000006,73926,816,366,WH049,259,2025-12-18,2025-12-20,2025-12-22,16,UPS,764.73,4,2,Delayed
SHP000007,90325,1865,329,WH045,31,2025-12-15,2025-12-17,2025-12-17,187,FedEx,293.1,2,0,Delivered
SHP000008,27944,123,55,WH026,162,2025-07-05,2025-07-11,2025-07-11,11,UPS,992.6,6,0,Delivered
SHP000009,56484,1233,493,WH043,264,2025-07-02,2025-07-09,2025-07-11,16,DHL,425.62,9,2,Delayed
SHP000010,36953,1086,187,WH026,140,2025-02-25,2025-02-27,2025-02-27,245,DHL,159.84,2,0,Delivered
SHP000011,72431,2132,64,WH034,145,2025-10-04,2025-10-06,2025-10-06,52,FedEx,246.76,2,0,Delivered
SHP000012,87491,63,229,WH003,253,2025-05-02,2025-05-07,2025-05-14,203,DHL,746.75,12,7,Delayed
SHP000013,72193,595,448,WH004,123,2025-11-13,2025-11-19,2025-11-19,42,UPS,268.82,6,0,Delivered
SHP000014,5080,298,42,WH050,243,2025-10-01,2025-10-03,2025-10-03,169,USPS,1468.42,2,0,Delivered
SHP000015,65323,1675,482,WH046,104,2025-02-27,2025-03-05,2025-03-10,65,UPS,126.04,11,5,Delayed
SHP000016,43777,1112,106,WH015,288,2025-02-09,2025-02-16,2025-02-16,82,Regional Carrier,170.25,7,0,Delivered
SHP000017,49081,1964,467,WH007,183,2025-08-03,2025-08-07,2025-08-07,240,UPS,1295.01,4,0,Delivered
SHP000018,90667,424,414,WH012,200,2025-06-25,2025-06-29,2025-06-29,164,UPS,1276.44,4,0,Delivered
SHP000019,12200,2301,271,WH013,122,2025-10-23,2025-10-29,2025-10-29,26,USPS,81.27,6,0,Delivered
SHP000020,39339,227,165,WH022,18,2025-07-12,2025-07-14,2025-07-14,109,FedEx,1032.65,2,0,Delivered
SHP000021,96721,1881,119,WH007,258,2025-02-24,2025-03-03,2025-03-13,133,Regional Carrier,639.81,17,10,Delayed
SHP000022,61932,1706,349,WH038,127,2025-11-16,2025-11-22,2025-11-22,182,Regional Carrier,68.78,6,0,Delivered
SHP000023,20031,2204,233,WH024,162,2025-06-05,2025-06-09,2025-06-09,28,DHL,87.0,4,0,Delivered
SHP000024,6887,666,24,WH050,186,2025-02-07,2025-02-12,2025-02-15,29,UPS,1284.45,8,3,Delayed
SHP000025,69535,490,184,WH028,30,2025-04-01,2025-04-04,2025-04-05,86,DHL,891.76,4,1,Delayed
SHP000026,77061,472,396,WH046,37,2025-06-22,2025-06-27,2025-06-29,105,DHL,994.91,7,2,Delayed
SHP000027,97681,2339,53,WH031,245,2025-09-16,2025-09-23,2025-09-23,224,FedEx,1175.94,7,0,Delivered
SHP000028,72795,1713,144,WH041,200,2025-01-19,2025-01-22,2025-01-29,81,FedEx,1165.48,10,7,Delayed
SHP000029,15797,2429,414,WH046,247,2025-06-09,2025-06-11,2025-06-11,196,UPS,379.35,2,0,Delivered
SHP000030,51750,2321,212,WH025,231,2025-07-05,2025-07-08,2025-07-15,113,Regional Carrier,489.31,10,7,Delayed
SHP000031,92914,1743,37,WH043,6,2025-11-07,2025-11-13,2025-11-13,146,UPS,689.56,6,0,Delivered
SHP000032,86786,742,470,WH004,219,2025-09-01,2025-09-08,2025-09-09,16,FedEx,1230.07,8,1,Delayed
SHP000033,27488,259,136,WH015,184,2025-12-18,2025-12-21,2025-12-21,247,FedEx,681.06,3,0,Delivered
SHP000034,69252,1138,38,WH002,195,2025-10-07,2025-10-14,2025-10-14,198,UPS,342.67,7,0,Delivered
