StoreID,Region
1,North
2,North
3,East
4,North
5,South
6,East
7,West
8,South
9,North
10,South
11,West
12,North
13,East
14,West
15,West
16,Central
17,West
18,South
19,West
20,East
21,North
22,South
23,North
24,Central
25,South
26,West
27,West
28,West
29,North
30,South
31,East
32,Central
33,South
34,East
35,East
36,East
37,South
38,West
39,West
40,East
41,West
42,West
43,East
44,North
45,East
46,East
47,South
48,Central
49,North
50,East
51,East
52,Central
53,West
54,Central
55,Central
56,East
57,South
58,Central
59,South
60,North
61,East
62,North
63,East
64,East
65,South
66,East
67,North
68,East
69,West
70,North
71,Central
72,Central
73,East
74,North
75,North
76,East
77,South
78,West
79,Central
80,South
81,East
82,West
83,West
84,West
85,East
86,Central
87,West
88,Central
89,East
90,East
91,East
92,West
93,North
94,Central
95,North
96,West
97,East
98,East
99,North
100,West
101,Central
102,Central
103,East
104,West
105,Central
106,West
107,Central
108,South
109,Central
110,Central
111,East
112,East
113,East
114,West
115,West
116,East
117,East
118,East
119,North
120,North
121,South
122,Central
123,South
124,North
125,South
126,East
127,Central
128,West
129,East
130,Central
131,South
132,East
133,North
134,South
135,South
136,Central
137,South
138,Central
139,South
140,West
141,East
142,Central
143,North
144,Central
145,South
146,East
147,West
148,East
149,Central
150,North
151,North
152,Central
153,Central
154,South
155,South
156,East
157,North
158,East
159,North
160,West
161,Central
162,East
163,Central
164,West
165,South
166,South
167,West
168,North
169,North
170,North
171,West
172,North
173,North
174,West
175,North
176,East
177,Central
178,Central
179,East
180,East
181,North
182,North
183,Central
184,South
185,North
186,North
187,West
188,South
189,North
190,West
191,East
192,South
193,Central
194,East
195,East
196,West
197,Central
198,North
199,East
200,North
201,Central
202,South
203,South
204,Central
205,South
206,South
207,East
208,Central
209,North
210,North
211,East
212,South
213,East
214,South
215,South
216,East
217,North
218,North
219,West
220,East
221,Central
222,East
223,Central
224,Central
225,South
226,North
227,West
228,West
229,East
230,South
231,East
232,North
233,South
234,Central
235,East
236,Central
237,Central
238,East
239,East
240,South
241,South
242,Central
243,East
244,Central
245,West
246,East
247,North
248,East
249,East
250,Central
251,West
252,West
253,East
254,North
255,South
256,South
257,North
258,West
259,West
260,Central
261,North
262,East
263,East
264,East
265,Central
266,Central
267,South
268,East
269,Central
270,Central
271,North
272,West
273,North
274,West
275,South
276,East
277,West
278,West
279,East
280,East
281,Central
282,Central
283,South
284,North
285,South
286,East
287,North
288,West
289,Central
290,West
291,South
292,Central
293,North
294,North
295,North
296,West
297,South
298,Central
299,North
300,South
