SupplierID,LeadTime
1,6
2,13
3,10
4,5
5,4
6,4
7,6
8,9
9,7
10,12
11,8
12,3
13,14
14,6
15,9
16,2
17,6
18,14
19,12
20,6
21,3
22,3
23,3
24,9
25,4
26,15
27,14
28,7
29,2
30,13
31,11
32,8
33,9
34,14
35,12
36,5
37,10
38,11
39,4
40,3
41,13
42,9
43,4
44,12
45,6
46,6
47,15
48,3
49,11
50,15
51,10
52,15
53,13
54,9
55,9
56,4
57,8
58,10
59,12
60,2
61,12
62,7
63,8
64,2
65,6
66,10
67,3
68,12
69,7
70,4
71,9
72,15
73,5
74,6
75,9
76,14
77,3
78,12
79,4
80,11
81,13
82,12
83,6
84,6
85,15
86,15
87,10
88,15
89,14
90,15
91,15
92,5
93,6
94,2
95,8
96,7
97,7
98,10
99,3
100,14
101,11
102,12
103,6
104,9
105,8
106,10
107,10
108,9
109,3
110,2
111,7
112,3
113,12
114,4
115,10
116,2
117,9
118,12
119,6
120,15
121,5
122,14
123,12
124,2
125,7
126,2
127,11
128,13
129,7
130,6
131,11
132,10
133,5
134,3
135,3
136,7
137,6
138,3
139,10
140,10
141,3
142,9
143,14
144,5
145,7
146,6
147,15
148,15
149,2
150,13
151,15
152,11
153,15
154,5
155,3
156,12
157,13
158,12
159,5
160,8
161,8
162,6
163,11
164,7
165,10
166,14
167,15
168,7
169,10
170,7
171,5
172,2
173,14
174,14
175,10
176,12
177,13
178,12
179,11
180,3
181,9
182,3
183,5
184,13
185,7
186,10
187,9
188,2
189,5
190,11
191,12
192,5
193,2
194,7
195,10
196,10
197,13
198,10
199,4
200,4
201,14
202,15
203,7
204,15
205,14
206,4
207,7
208,13
209,5
210,10
211,9
212,15
213,15
214,14
215,12
216,14
217,12
218,10
219,4
220,15
221,7
222,3
223,7
224,9
225,15
226,13
227,14
228,5
229,6
230,9
231,10
232,2
233,2
234,2
235,9
236,7
237,13
238,3
239,11
240,4
241,7
242,8
243,7
244,15
245,3
246,10
247,5
248,12
249,9
250,10
251,9
252,15
253,10
254,6
255,12
256,10
257,13
258,9
259,4
260,5
261,4
262,10
263,10
264,3
265,14
266,8
267,8
268,2
269,2
270,8
271,4
272,15
273,13
274,2
275,12
276,10
277,4
278,15
279,6
280,10
281,8
282,3
283,14
284,9
285,8
286,13
287,8
288,7
289,8
290,14
291,10
292,15
293,6
294,2
295,10
296,5
297,13
298,4
299,14
300,10
301,7
302,5
303,13
304,7
305,2
306,7
307,12
308,15
309,7
310,4
311,6
312,8
313,5
314,7
315,10
316,10
317,3
318,6
319,12
320,9
321,8
322,12
323,13
324,7
325,6
326,5
327,9
328,11
329,10
330,7
331,13
332,11
333,12
334,8
335,8
336,3
337,6
338,3
339,9
340,4
341,7
342,4
343,11
344,4
345,12
346,14
347,7
348,5
349,15
350,5
351,14
352,5
353,15
354,4
355,9
356,4
357,13
358,12
359,13
360,11
361,14
362,6
363,3
364,14
365,3
366,12
367,9
368,8
369,15
370,11
371,14
372,12
373,10
374,9
375,13
376,3
377,15
378,7
379,9
380,7
381,3
382,12
383,3
384,3
385,8
386,14
387,3
388,15
389,7
390,6
391,7
392,10
393,6
394,2
395,5
396,15
397,4
398,3
399,12
400,10
401,5
402,7
403,15
404,9
405,4
406,15
407,8
408,2
409,15
410,4
411,5
412,7
413,15
414,6
415,11
416,6
417,11
418,7
419,8
420,4
421,8
422,11
423,4
424,12
425,10
426,9
427,6
428,5
429,3
430,6
431,15
432,8
433,11
434,11
435,14
436,6
437,15
438,11
439,12
440,6
441,2
442,15
443,3
444,5
445,15
446,12
447,4
448,10
449,14
450,7
451,2
452,3
453,4
454,9
455,10
456,14
457,15
458,12
459,5
460,8
461,4
462,10
463,6
464,5
465,14
466,2
467,5
468,5
469,12
470,4
471,2
472,10
473,3
474,13
475,10
476,9
477,7
478,3
479,10
480,9
481,7
482,8
483,13
484,10
485,2
486,8
487,13
488,10
489,10
490,2
491,8
492,13
493,11
494,7
495,2
496,6
497,4
498,14
499,12
500,15
